,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,55844,301173.XSHE,2023-12-31,2025-02-12,2023-12-31,,154870943.04,211792031.29,216233.94,28.5935,27.7369,6.2349,6.3736,17.1061,91.4969,8.3534,6.3736,1.8454,3.2167,0.2492,102.9481,0.1051,97.0042,97.6973,11.3112,133.0255,23.248,,23.248,,106.5746,,125.4328,,123.6909,
1,55848,603409.XSHG,2023-12-31,2025-02-13,2023-12-31,,147082392.13,167007673.37,0.0,29.4272,28.4077,16.4721,20.0096,33.7088,78.1571,22.3001,20.0096,1.9277,4.8214,0.1476,95.3549,0.0,96.5356,48.2499,9.5187,43.5778,21.6874,,21.6874,,-3.4005,,-5.5888,,-6.029,
2,55850,301557.XSHE,2023-12-31,2025-02-14,2023-12-31,,81504720.18,115544817.22,-6166045.7,14.3019,14.1117,7.3606,9.4804,24.6584,86.73899999999999,11.5873,9.4804,1.4211,5.6518,0.6346,115.9174,-6.1859,98.6699,72.2528,5.6724,42.7753,17.7762,,17.7762,,-8.4152,,-5.6383,,-5.6383,
3,55870,603271.XSHG,2023-12-31,2025-02-20,2023-12-31,,246611885.62,253768871.35,-24390898.59,19.2117,19.9152,8.3041,3.6578,8.9354,96.0982,3.6978,3.6578,0.3006,0.7155,0.4129,106.62799999999999,-10.2485,103.6615,80.6189,9.2518,237.118,-9.0371,,-9.0371,,-32.7696,,-32.7346,,-32.7346,
4,55872,301275.XSHE,2023-12-31,2025-02-20,2023-12-31,,693591986.64,796037463.73,-30718945.28,40.9262,41.8888,18.2664,17.9508,32.5892,78.9133,20.7931,17.9508,5.7311,4.5856,-3.475,101.6334,-3.9219999999999997,102.3518,145.0163,16.8373,79.8477,31.9081,,31.9081,,246.2934,,226.2156,,226.1991,
5,55961,301479.XSHE,2023-12-31,2025-02-21,2023-12-31,,114296692.38,130811688.12,0.0,31.8802,31.2961,17.3051,15.0617,30.5246,83.0779,17.1104,15.0617,2.0439,4.1757,0.4356,100.2961,0.0,98.1677,96.2672,19.9919,118.1405,73.1305,,73.1305,,129.4095,,106.2397,,106.2397,
6,55998,301501.XSHE,2023-12-31,2025-02-27,2023-12-31,,211676129.49,262457853.62,-2135692.51,29.9046,29.5987,15.8998,15.5399,28.6267,81.5829,18.1646,15.5399,2.3214,4.2371,-0.0673,101.7237,-0.8278,98.9771,100.3305,15.4019,83.6279,30.9486,,30.9486,,38.0771,,33.4445,,31.3933,
7,56013,603124.XSHG,2023-12-31,2025-02-28,2023-12-31,,123916393.67,138745916.7,-3842137.04,12.8368,11.220999999999998,6.7937,2.0794,3.405,97.9649,2.4062,2.0794,0.1708,0.4711,0.256,84.6639,-2.3445,87.4127,93.3377,-12.0519,-592.1923,9.4275,,9.4275,,40.8198,,34.8261,,34.8261,
8,56046,001382.XSHE,2023-12-31,2025-02-28,2023-12-31,,162972924.98,223168582.46,61725.55,16.4701,16.3301,9.6794,5.4562,11.7386,92.59200000000001,7.2548,5.4562,2.3441,1.0329,0.3228,102.4158,0.0283,99.1503,99.6559,-5.1368,-69.3412,9.0336,,9.0336,,47.1659,,48.3991,,48.3991,
9,56070,301629.XSHE,2023-12-31,2025-03-07,2023-12-31,,83155945.58,94269717.43,2515182.66,15.2618,14.225,8.7637,16.3501,34.1603,82.7462,17.840999999999998,16.3501,3.4330000000000003,3.3946,-1.0190000000000001,97.4409,2.5998,93.2068,41.3871,-14.4344,-83.6588,23.6077,,23.6077,,-25.1479,,-21.3981,,-22.8719,
